CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,HTR2B,3F9,,HRH3,4G5
,,,,,,HTR2B,3F11,,HRH3,4G11
,,,,,,HTR2B,3F12,,HRH3,4H5
,,,,,,LGR4,3F10,,HRH3,5A5
,,,,,,NMBR,1E2,,HRH3,5A11
,,,,,,NMBR,1H6,,HRH3,5B5
,,,,,,NMBR,1B2,,HRH3,5B11
,,,,,,NMBR,1H2,,HRH3,5C5
,,,,,,NMBR,1B6,,HRH3,5D5
,,,,,,NMBR,1E6,,HRH3,5D11
,,,,,,NPY5R,3B2,,HRH3,5E5
,,,,,,NPY5R,2H12,,HRH3,5E11
,,,,,,NPY5R,3A12,,HRH3,5F5
,,,,,,NPY5R,3B6,,HRH3,5G5
,,,,,,NPY5R,2E8,,HRH3,5G11
,,,,,,NPY5R,2G2,,HRH3,4G6
,,,,,,NPY5R,2H8,,HRH3,4G12
,,,,,,NPY5R,2E12,,HRH3,4H6
,,,,,,NPY5R,2G6,,HRH3,5A6
,,,,,,NPY5R,3A8,,HRH3,5A12
,,,,,,NPY5R,2F12,,HRH3,5D6
,,,,,,NPY5R,2F8,,HRH3,5D12
,,,,,,OPN1LW,6A3,,HRH3,5E6
,,,,,,OPN1LW,6C9,,HRH3,5E12
,,,,,,OPN1LW,7E3,,HRH3,5F6
,,,,,,OPN1LW,7G9,,HRH3,5G6
,,,,,,OR10C1,7D2,,HRH3,5G12
,,,,,,OR10C1,7D8,,HRH3,5B1
,,,,,,OR10C1,3F2,,HRH3,5B7
,,,,,,OR10C1,3F8,,HRH3,5C1
,,,,,,OR10C1,7D6,,HRH3,5B6
,,,,,,OR10C1,7D12,,HRH3,5B12
,,,,,,OR10C1,3F6,,HRH3,5C6
,,,,,,OR10C1,3F12,,HRH3,1B3
,,,,,,OR10G7,2G8,,HRH3,1E3
,,,,,,OR10G7,2E4,,HRH3,1H3
,,,,,,OR10G7,2G10,,HRH3,2C3
,,,,,,OR10G7,2E2,,HRH3,1B6
,,,,,,OR10G7,2F10,,HRH3,1D12
,,,,,,OR10G7,2E1,,HRH3,1H6
,,,,,,OR10G7,2G7,,HRH3,2B12
,,,,,,OR10G7,2F8,,HRH3,2C6
